#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTB	CFL1	9606.ENSP00000494750	9606.ENSP00000432660	0	0	0	0	0.403	0.987	0.900	0.834	0.999
ACTB	IL22	9606.ENSP00000494750	9606.ENSP00000442424	0	0	0	0	0	0	0	0.447	0.447
ACTB	VIM	9606.ENSP00000494750	9606.ENSP00000446007	0	0	0	0	0.156	0.243	0	0.601	0.723
ACTB	CTLA4	9606.ENSP00000494750	9606.ENSP00000497102	0	0	0	0	0	0	0	0.412	0.412
ACTB	JAK1	9606.ENSP00000494750	9606.ENSP00000499900	0	0	0	0	0.140	0.070	0	0.511	0.575
ACTB	IL17A	9606.ENSP00000494750	9606.ENSP00000497968	0	0	0	0	0	0	0	0.648	0.648
ACTC1	IL23R	9606.ENSP00000290378	9606.ENSP00000321345	0	0	0	0	0	0.431	0	0	0.431
ACTC1	ERBIN	9606.ENSP00000290378	9606.ENSP00000426632	0	0	0	0	0.049	0.095	0.400	0.051	0.444
ACTC1	GSN	9606.ENSP00000290378	9606.ENSP00000362924	0	0	0	0	0.064	0.443	0	0.264	0.583
ACTC1	CFL1	9606.ENSP00000290378	9606.ENSP00000432660	0	0	0	0	0.095	0.679	0	0.248	0.763
ARSB	SIAE	9606.ENSP00000264914	9606.ENSP00000263593	0	0	0	0	0.042	0.483	0	0.273	0.608
ATG12	RB1CC1	9606.ENSP00000425107	9606.ENSP00000025008	0	0	0	0	0.070	0.484	0	0.979	0.989
ATG12	RIPK2	9606.ENSP00000425107	9606.ENSP00000220751	0	0	0	0	0.056	0	0	0.442	0.450
ATG12	RAB33A	9606.ENSP00000425107	9606.ENSP00000257017	0	0	0	0	0	0.593	0	0.225	0.671
ATG12	NOD2	9606.ENSP00000425107	9606.ENSP00000300589	0	0	0	0	0	0	0.900	0.558	0.953
ATG12	RAB33B	9606.ENSP00000425107	9606.ENSP00000306496	0	0	0	0	0.087	0.614	0	0.713	0.890
ATG12	ATG5	9606.ENSP00000425107	9606.ENSP00000358072	0	0	0	0	0.118	0.997	0.900	0.999	0.999
ATG12	OPTN	9606.ENSP00000425107	9606.ENSP00000368022	0	0	0	0	0.094	0	0	0.572	0.595
ATG12	ATG16L1	9606.ENSP00000425107	9606.ENSP00000375873	0	0	0	0	0.042	0.994	0.900	0.999	0.999
ATG12	IRGM	9606.ENSP00000425107	9606.ENSP00000428220	0	0	0	0	0	0.058	0	0.577	0.585
ATG16L1	RB1CC1	9606.ENSP00000375873	9606.ENSP00000025008	0	0	0	0	0.064	0.825	0.900	0.988	0.999
ATG16L1	RIPK2	9606.ENSP00000375873	9606.ENSP00000220751	0	0	0	0	0.053	0.292	0	0.727	0.800
ATG16L1	IL10RA	9606.ENSP00000375873	9606.ENSP00000227752	0	0	0	0	0	0	0	0.507	0.507
ATG16L1	IFNG	9606.ENSP00000375873	9606.ENSP00000229135	0	0	0	0	0	0	0	0.447	0.447
ATG16L1	RAB33A	9606.ENSP00000375873	9606.ENSP00000257017	0	0	0	0	0	0.727	0	0.685	0.910
ATG16L1	IL18	9606.ENSP00000375873	9606.ENSP00000280357	0	0	0	0	0.083	0	0	0.508	0.529
ATG16L1	NOD2	9606.ENSP00000375873	9606.ENSP00000300589	0	0	0	0	0.044	0.625	0.900	0.999	0.999
ATG16L1	RAB33B	9606.ENSP00000375873	9606.ENSP00000306496	0	0	0	0	0	0.983	0.900	0.991	0.999
ATG16L1	IL23R	9606.ENSP00000375873	9606.ENSP00000321345	0	0	0	0	0	0	0	0.669	0.669
ATG16L1	ATP6V0C	9606.ENSP00000375873	9606.ENSP00000329757	0	0	0	0	0	0	0	0.549	0.549
ATG16L1	NLRP3	9606.ENSP00000375873	9606.ENSP00000337383	0	0	0	0	0.044	0.045	0	0.671	0.673
ATG16L1	ATG5	9606.ENSP00000375873	9606.ENSP00000358072	0	0	0	0	0.122	0.999	0.900	0.999	0.999
ATG16L1	OPTN	9606.ENSP00000375873	9606.ENSP00000368022	0	0	0	0	0	0.292	0	0.582	0.691
ATG16L1	IL6	9606.ENSP00000375873	9606.ENSP00000385675	0	0	0	0	0	0	0	0.430	0.430
ATG16L1	IL10	9606.ENSP00000375873	9606.ENSP00000412237	0	0	0	0	0	0	0	0.445	0.445
ATG16L1	IRF5	9606.ENSP00000375873	9606.ENSP00000418037	0	0	0	0	0	0	0	0.449	0.449
ATG16L1	IRGM	9606.ENSP00000375873	9606.ENSP00000428220	0	0	0	0	0	0.292	0	0.960	0.970
ATG5	RB1CC1	9606.ENSP00000358072	9606.ENSP00000025008	0	0	0	0	0.104	0.619	0	0.920	0.970
ATG5	RIPK2	9606.ENSP00000358072	9606.ENSP00000220751	0	0	0	0	0.052	0.086	0	0.575	0.599
ATG5	IFNG	9606.ENSP00000358072	9606.ENSP00000229135	0	0	0	0	0.042	0	0	0.481	0.481
ATG5	RAB33A	9606.ENSP00000358072	9606.ENSP00000257017	0	0	0	0	0	0.631	0	0.215	0.698
ATG5	STAT3	9606.ENSP00000358072	9606.ENSP00000264657	0	0	0	0	0.088	0.170	0	0.518	0.604
ATG5	IL18	9606.ENSP00000358072	9606.ENSP00000280357	0	0	0	0	0.085	0	0	0.450	0.476
ATG5	NOD2	9606.ENSP00000358072	9606.ENSP00000300589	0	0	0	0	0	0	0.900	0.689	0.967
ATG5	RAB33B	9606.ENSP00000358072	9606.ENSP00000306496	0	0	0	0	0.082	0.640	0	0.858	0.949
ATG5	NLRP3	9606.ENSP00000358072	9606.ENSP00000337383	0	0	0	0	0	0	0	0.683	0.683
ATG5	VCP	9606.ENSP00000358072	9606.ENSP00000351777	0	0	0	0	0.094	0.330	0	0.352	0.572
ATG5	STAT1	9606.ENSP00000358072	9606.ENSP00000354394	0	0	0	0	0.090	0.181	0	0.443	0.549
ATG5	IFNB1	9606.ENSP00000358072	9606.ENSP00000369581	0	0	0	0	0	0	0	0.418	0.418
ATG5	IL6	9606.ENSP00000358072	9606.ENSP00000385675	0	0	0	0	0	0	0	0.531	0.531
ATG5	OPTN	9606.ENSP00000358072	9606.ENSP00000368022	0	0	0	0	0.061	0.510	0	0.598	0.798
ATG5	IRGM	9606.ENSP00000358072	9606.ENSP00000428220	0	0	0	0	0.105	0.292	0	0.988	0.991
ATP6V0C	SGTA	9606.ENSP00000329757	9606.ENSP00000221566	0	0	0	0	0.110	0.046	0	0.392	0.439
BAHD1	TRIM28	9606.ENSP00000396976	9606.ENSP00000253024	0	0	0	0	0.084	0.292	0	0.473	0.628
BTRC	CREBBP	9606.ENSP00000359206	9606.ENSP00000262367	0	0	0	0	0.074	0	0	0.606	0.620
BTRC	IFNAR1	9606.ENSP00000359206	9606.ENSP00000270139	0	0	0	0	0.049	0.607	0	0.494	0.794
BTRC	VCP	9606.ENSP00000359206	9606.ENSP00000351777	0	0	0	0	0	0.704	0	0.536	0.856
BTRC	ERBIN	9606.ENSP00000359206	9606.ENSP00000426632	0	0	0	0	0	0.361	0	0.157	0.438
BTRC	PRLR	9606.ENSP00000359206	9606.ENSP00000482954	0	0	0	0	0	0.301	0.500	0.183	0.689
BTRC	RELA	9606.ENSP00000359206	9606.ENSP00000384273	0	0	0	0	0.067	0.600	0.500	0.390	0.871
CARD10	NOD2	9606.ENSP00000384570	9606.ENSP00000300589	0	0	0	0	0.058	0	0	0.487	0.496
CARD10	TRIM27	9606.ENSP00000384570	9606.ENSP00000366404	0	0	0.263	0	0	0.082	0	0.190	0.404
CARD10	GFOD1	9606.ENSP00000384570	9606.ENSP00000368589	0	0	0	0	0	0.454	0	0	0.454
CARD8	RIPK2	9606.ENSP00000499211	9606.ENSP00000220751	0	0	0	0	0	0.067	0	0.658	0.667
CARD8	IL18	9606.ENSP00000499211	9606.ENSP00000280357	0	0	0	0	0.055	0	0	0.693	0.698
CARD8	NOD2	9606.ENSP00000499211	9606.ENSP00000300589	0	0	0	0	0.114	0	0	0.627	0.655
CARD8	NLRP3	9606.ENSP00000499211	9606.ENSP00000337383	0	0.069	0	0	0.081	0.307	0.900	0.976	0.998
CARD8	IL6	9606.ENSP00000499211	9606.ENSP00000385675	0	0	0	0	0.055	0	0	0.494	0.502
CARD8	CEP192	9606.ENSP00000499211	9606.ENSP00000427550	0	0	0	0	0.068	0.421	0	0	0.437
CEP152	CEP170	9606.ENSP00000370337	9606.ENSP00000355500	0	0	0	0	0.060	0	0	0.541	0.550
CEP152	OPTN	9606.ENSP00000370337	9606.ENSP00000368022	0	0	0	0	0	0	0.500	0	0.499
CEP152	IRF5	9606.ENSP00000370337	9606.ENSP00000418037	0	0	0	0	0	0.323	0	0.398	0.575
CEP152	CEP192	9606.ENSP00000370337	9606.ENSP00000427550	0	0	0	0	0.110	0.196	0.540	0.888	0.958
CEP170	INAVA	9606.ENSP00000355500	9606.ENSP00000392105	0	0	0	0	0	0.480	0	0.122	0.525
CEP170	CEP192	9606.ENSP00000355500	9606.ENSP00000427550	0	0	0	0	0.056	0.071	0	0.506	0.529
CEP192	OPTN	9606.ENSP00000427550	9606.ENSP00000368022	0	0	0	0	0.047	0	0.500	0	0.503
CFL1	STAT4	9606.ENSP00000432660	9606.ENSP00000351255	0	0	0	0	0.056	0	0.750	0	0.753
CFL1	VCP	9606.ENSP00000432660	9606.ENSP00000351777	0	0	0	0	0.193	0.127	0	0.223	0.405
CFL1	GSN	9606.ENSP00000432660	9606.ENSP00000362924	0	0	0	0	0.059	0	0	0.864	0.867
CFL1	TYK2	9606.ENSP00000432660	9606.ENSP00000431885	0	0	0	0	0.142	0.071	0	0.442	0.516
CFL1	JAK1	9606.ENSP00000432660	9606.ENSP00000499900	0	0	0	0	0.081	0.071	0	0.486	0.523
CNTFR	IL23A	9606.ENSP00000368265	9606.ENSP00000228534	0	0	0	0	0	0	0.650	0.154	0.691
CNTFR	IFNG	9606.ENSP00000368265	9606.ENSP00000229135	0	0	0	0	0	0	0.650	0.138	0.685
CNTFR	IL12B	9606.ENSP00000368265	9606.ENSP00000231228	0	0	0	0.602	0.051	0	0.650	0.189	0.707
CNTFR	IL4	9606.ENSP00000368265	9606.ENSP00000231449	0	0	0	0	0	0	0.650	0.098	0.670
CNTFR	IL27RA	9606.ENSP00000368265	9606.ENSP00000263379	0	0	0	0	0.054	0.091	0	0.995	0.995
CNTFR	STAT3	9606.ENSP00000368265	9606.ENSP00000264657	0	0	0	0	0.047	0	0	0.689	0.691
CNTFR	IL9	9606.ENSP00000368265	9606.ENSP00000274520	0	0	0	0	0	0	0.650	0.060	0.656
CNTFR	IFNA1	9606.ENSP00000368265	9606.ENSP00000276927	0	0	0	0	0.065	0	0.650	0.068	0.668
CNTFR	IFNK	9606.ENSP00000368265	9606.ENSP00000276943	0	0	0	0	0.065	0	0.650	0	0.658
CNTFR	CSF2	9606.ENSP00000368265	9606.ENSP00000296871	0	0	0	0	0	0	0.650	0.096	0.670
CNTFR	IL12A	9606.ENSP00000368265	9606.ENSP00000303231	0	0	0	0	0	0.096	0.650	0.127	0.699
CNTFR	IL13	9606.ENSP00000368265	9606.ENSP00000304915	0	0	0	0	0.042	0	0.650	0.091	0.668
CNTFR	IFNL1	9606.ENSP00000368265	9606.ENSP00000329991	0	0	0	0	0	0	0.650	0.127	0.681
CNTFR	IFNL2	9606.ENSP00000368265	9606.ENSP00000333639	0	0	0	0	0	0	0.650	0.068	0.659
CNTFR	IL20	9606.ENSP00000368265	9606.ENSP00000356065	0	0	0	0	0	0	0.650	0	0.650
CNTFR	IL6R	9606.ENSP00000368265	9606.ENSP00000357470	0	0	0	0.654	0	0	0.720	0.693	0.910
CNTFR	IFNL3	9606.ENSP00000368265	9606.ENSP00000481633	0	0	0	0	0	0	0.650	0	0.650
CNTFR	IFNW1	9606.ENSP00000368265	9606.ENSP00000369578	0	0	0	0	0.065	0	0.650	0	0.658
CNTFR	IFNA2	9606.ENSP00000368265	9606.ENSP00000369554	0	0	0	0	0.065	0	0.650	0	0.658
CNTFR	IFNA13	9606.ENSP00000368265	9606.ENSP00000480467	0	0	0	0	0.065	0	0.650	0	0.659
CNTFR	IFNB1	9606.ENSP00000368265	9606.ENSP00000369581	0	0	0	0	0.065	0	0.650	0.081	0.672
CNTFR	IFNE	9606.ENSP00000368265	9606.ENSP00000418018	0	0	0	0	0.065	0	0.650	0.084	0.674
CNTFR	IL19	9606.ENSP00000368265	9606.ENSP00000499459	0	0	0	0	0	0	0.650	0.114	0.676
CNTFR	IL24	9606.ENSP00000368265	9606.ENSP00000375795	0	0	0	0	0	0	0.650	0.118	0.678
CNTFR	IL10	9606.ENSP00000368265	9606.ENSP00000412237	0	0	0	0	0	0	0.650	0.143	0.687
CNTFR	IL22	9606.ENSP00000368265	9606.ENSP00000442424	0	0	0	0	0	0	0.650	0.160	0.693
CNTFR	JAK1	9606.ENSP00000368265	9606.ENSP00000499900	0	0	0	0	0	0	0.650	0.295	0.742
CNTFR	IL11RA	9606.ENSP00000368265	9606.ENSP00000450565	0	0	0	0.723	0.055	0	0	0.810	0.812
CNTFR	TYK2	9606.ENSP00000368265	9606.ENSP00000431885	0	0	0	0	0	0	0.650	0.587	0.849
CNTFR	IL6	9606.ENSP00000368265	9606.ENSP00000385675	0	0	0	0	0.074	0	0.650	0.741	0.908
CNTFR	IL6ST	9606.ENSP00000368265	9606.ENSP00000370698	0	0	0	0.588	0.054	0.328	0.800	0.905	0.986
CREBBP	TRIM28	9606.ENSP00000262367	9606.ENSP00000253024	0	0	0	0	0.067	0.301	0	0.246	0.465
CREBBP	IL6	9606.ENSP00000262367	9606.ENSP00000385675	0	0	0	0	0	0	0	0.416	0.416
CREBBP	JAK1	9606.ENSP00000262367	9606.ENSP00000499900	0	0	0	0	0.157	0.047	0	0.395	0.472
CREBBP	IFNA2	9606.ENSP00000262367	9606.ENSP00000369554	0	0	0	0	0	0	0.500	0.148	0.555
CREBBP	CSF2	9606.ENSP00000262367	9606.ENSP00000296871	0	0	0	0	0	0	0.500	0.199	0.582
CREBBP	IFNA1	9606.ENSP00000262367	9606.ENSP00000276927	0	0	0	0	0	0	0.500	0.290	0.629
CREBBP	IFNB1	9606.ENSP00000262367	9606.ENSP00000369581	0	0	0	0	0	0	0.500	0.397	0.685
CREBBP	STAT4	9606.ENSP00000262367	9606.ENSP00000351255	0	0	0	0	0.044	0.045	0.650	0.178	0.702
CREBBP	IRF5	9606.ENSP00000262367	9606.ENSP00000418037	0	0	0	0	0	0.668	0	0.185	0.718
CREBBP	STAT3	9606.ENSP00000262367	9606.ENSP00000264657	0	0	0	0	0.063	0.512	0.650	0.645	0.935
CREBBP	STAT1	9606.ENSP00000262367	9606.ENSP00000354394	0	0	0	0	0.063	0.983	0.650	0.964	0.999
CREBBP	RELA	9606.ENSP00000262367	9606.ENSP00000384273	0	0	0	0	0.102	0.991	0.500	0.958	0.999
CSF2	IL2RB	9606.ENSP00000296871	9606.ENSP00000216223	0	0	0	0	0.056	0	0.650	0.556	0.840
CSF2	IL10RA	9606.ENSP00000296871	9606.ENSP00000227752	0	0	0	0	0	0	0.650	0.445	0.797
CSF2	IL23A	9606.ENSP00000296871	9606.ENSP00000228534	0	0	0	0	0.274	0	0	0.541	0.652
CSF2	IL26	9606.ENSP00000296871	9606.ENSP00000229134	0	0	0	0	0.116	0	0	0.445	0.488
CSF2	IFNG	9606.ENSP00000296871	9606.ENSP00000229135	0	0	0	0	0.181	0	0	0.981	0.984
CSF2	IL12B	9606.ENSP00000296871	9606.ENSP00000231228	0	0	0	0	0.167	0	0.400	0.361	0.653
CSF2	IL4	9606.ENSP00000296871	9606.ENSP00000231449	0	0	0	0	0.152	0	0	0.958	0.963
CSF2	IL9R	9606.ENSP00000296871	9606.ENSP00000244174	0	0	0	0	0.042	0	0.650	0.224	0.717
CSF2	LGALS3	9606.ENSP00000296871	9606.ENSP00000254301	0	0	0	0	0	0	0	0.419	0.418
CSF2	IL12RB2	9606.ENSP00000296871	9606.ENSP00000262345	0	0	0	0	0.049	0	0.650	0.399	0.782
CSF2	IL37	9606.ENSP00000296871	9606.ENSP00000263326	0	0	0	0	0.061	0	0	0.438	0.451
CSF2	IL27RA	9606.ENSP00000296871	9606.ENSP00000263379	0	0	0	0	0.042	0	0.650	0.305	0.746
CSF2	STAT3	9606.ENSP00000296871	9606.ENSP00000264657	0	0	0	0	0	0	0.500	0.715	0.851
CSF2	IFNAR1	9606.ENSP00000296871	9606.ENSP00000270139	0	0	0	0	0	0	0.650	0.505	0.819
CSF2	IL22RA1	9606.ENSP00000296871	9606.ENSP00000270800	0	0	0	0	0	0	0.650	0.561	0.839
CSF2	IL9	9606.ENSP00000296871	9606.ENSP00000274520	0	0	0	0	0.145	0	0	0.822	0.841
CSF2	IFNA1	9606.ENSP00000296871	9606.ENSP00000276927	0	0	0	0	0.048	0	0	0.850	0.851
CSF2	IL18	9606.ENSP00000296871	9606.ENSP00000280357	0	0	0	0	0	0	0.400	0.835	0.897
CSF2	IL10RB	9606.ENSP00000296871	9606.ENSP00000290200	0	0	0	0	0	0	0.650	0.323	0.752
CSF2	IRF5	9606.ENSP00000296871	9606.ENSP00000418037	0	0	0	0	0.044	0	0	0.419	0.420
CSF2	IFNL1	9606.ENSP00000296871	9606.ENSP00000329991	0	0	0	0	0.067	0	0	0.430	0.445
CSF2	RELA	9606.ENSP00000296871	9606.ENSP00000384273	0	0	0	0	0	0	0	0.447	0.447
CSF2	IFNL2	9606.ENSP00000296871	9606.ENSP00000333639	0	0	0	0	0.092	0	0	0.417	0.448
CSF2	STAT4	9606.ENSP00000296871	9606.ENSP00000351255	0	0	0	0	0.056	0	0	0.466	0.475
CSF2	TYK2	9606.ENSP00000296871	9606.ENSP00000431885	0	0	0	0	0	0	0	0.480	0.480
CSF2	NOD2	9606.ENSP00000296871	9606.ENSP00000300589	0	0	0	0	0.042	0	0	0.481	0.482
CSF2	IL19	9606.ENSP00000296871	9606.ENSP00000499459	0	0	0	0	0.176	0	0	0.419	0.501
CSF2	IFNA13	9606.ENSP00000296871	9606.ENSP00000480467	0	0	0	0	0.044	0	0	0.506	0.507
CSF2	NLRP3	9606.ENSP00000296871	9606.ENSP00000337383	0	0	0	0	0.062	0	0	0.507	0.517
CSF2	IL24	9606.ENSP00000296871	9606.ENSP00000375795	0	0	0	0	0.221	0	0	0.432	0.538
CSF2	IL12A	9606.ENSP00000296871	9606.ENSP00000303231	0	0	0	0	0.125	0	0.400	0.239	0.566
CSF2	STAT1	9606.ENSP00000296871	9606.ENSP00000354394	0	0	0	0	0	0	0	0.673	0.673
CSF2	PRLR	9606.ENSP00000296871	9606.ENSP00000482954	0	0	0	0	0	0	0.650	0.129	0.682
CSF2	IL11RA	9606.ENSP00000296871	9606.ENSP00000450565	0	0	0	0	0	0	0.650	0.163	0.694
CSF2	IL22RA2	9606.ENSP00000296871	9606.ENSP00000296980	0	0	0	0	0.047	0	0.650	0.194	0.707
CSF2	IL20RB	9606.ENSP00000296871	9606.ENSP00000328133	0	0	0	0	0.052	0	0.650	0.201	0.711
CSF2	IFNLR1	9606.ENSP00000296871	9606.ENSP00000327824	0	0	0	0	0.042	0	0.650	0.209	0.711
CSF2	JAK1	9606.ENSP00000296871	9606.ENSP00000499900	0	0	0	0	0	0	0.400	0.580	0.737
CSF2	CTLA4	9606.ENSP00000296871	9606.ENSP00000497102	0	0	0	0	0.134	0	0	0.723	0.750
CSF2	IL6ST	9606.ENSP00000296871	9606.ENSP00000370698	0	0	0	0	0	0	0.650	0.325	0.753
CSF2	IL13RA1	9606.ENSP00000296871	9606.ENSP00000360730	0	0	0	0	0	0	0.650	0.324	0.753
CSF2	IFNAR2	9606.ENSP00000296871	9606.ENSP00000343957	0	0	0	0	0	0	0.650	0.349	0.762
CSF2	IL13RA2	9606.ENSP00000296871	9606.ENSP00000361004	0	0	0	0	0.047	0	0.650	0.370	0.771
CSF2	IFNGR1	9606.ENSP00000296871	9606.ENSP00000356713	0	0	0	0	0	0	0.650	0.406	0.783
CSF2	IL12RB1	9606.ENSP00000296871	9606.ENSP00000470788	0	0	0	0	0	0	0.650	0.423	0.789
CSF2	IL22	9606.ENSP00000296871	9606.ENSP00000442424	0	0	0	0	0.192	0	0	0.765	0.802
CSF2	IL20RA	9606.ENSP00000296871	9606.ENSP00000314976	0	0	0	0	0	0	0.650	0.488	0.813
CSF2	IFNB1	9606.ENSP00000296871	9606.ENSP00000369581	0	0	0	0	0.085	0	0	0.822	0.830
CSF2	IL6R	9606.ENSP00000296871	9606.ENSP00000357470	0	0	0	0	0	0	0.650	0.553	0.837
CSF2	IL21R	9606.ENSP00000296871	9606.ENSP00000338010	0	0	0	0	0.048	0	0.650	0.559	0.840
CSF2	IL23R	9606.ENSP00000296871	9606.ENSP00000321345	0	0	0	0	0.074	0	0.650	0.547	0.840
CSF2	IL4R	9606.ENSP00000296871	9606.ENSP00000379111	0	0	0	0	0.042	0	0.650	0.570	0.843
CSF2	IFNA2	9606.ENSP00000296871	9606.ENSP00000369554	0	0	0	0	0.048	0	0	0.868	0.868
CSF2	IL2RA	9606.ENSP00000296871	9606.ENSP00000369293	0	0	0	0	0.084	0	0.650	0.625	0.869
CSF2	IL17A	9606.ENSP00000296871	9606.ENSP00000497968	0	0	0	0	0.101	0	0	0.881	0.888
CSF2	IL13	9606.ENSP00000296871	9606.ENSP00000304915	0	0	0	0	0.204	0	0	0.921	0.934
CSF2	IL10	9606.ENSP00000296871	9606.ENSP00000412237	0	0	0	0	0.096	0	0.400	0.930	0.959
CSF2	IL6	9606.ENSP00000296871	9606.ENSP00000385675	0	0	0	0	0.284	0	0.400	0.945	0.974
CSF2	IL5RA	9606.ENSP00000296871	9606.ENSP00000412209	0	0	0	0	0.043	0	0.650	0.937	0.977
CTLA4	IL2RB	9606.ENSP00000497102	9606.ENSP00000216223	0	0	0	0	0.263	0	0	0.582	0.679
CTLA4	IL10RA	9606.ENSP00000497102	9606.ENSP00000227752	0	0	0	0	0.158	0	0	0.667	0.708
CTLA4	IFNG	9606.ENSP00000497102	9606.ENSP00000229135	0	0	0	0	0.302	0	0	0.933	0.951
CTLA4	IL4	9606.ENSP00000497102	9606.ENSP00000231449	0	0	0	0	0.144	0	0	0.860	0.875
CTLA4	LGALS3	9606.ENSP00000497102	9606.ENSP00000254301	0	0	0	0	0	0	0	0.844	0.844
CTLA4	IL12RB2	9606.ENSP00000497102	9606.ENSP00000262345	0	0	0	0	0.128	0	0	0.419	0.471
CTLA4	IL27RA	9606.ENSP00000497102	9606.ENSP00000263379	0	0	0	0	0.099	0	0	0.513	0.542
CTLA4	STAT3	9606.ENSP00000497102	9606.ENSP00000264657	0	0	0	0	0.059	0	0	0.668	0.674
CTLA4	IFNAR1	9606.ENSP00000497102	9606.ENSP00000270139	0	0	0	0	0.055	0.166	0	0.380	0.468
CTLA4	IL9	9606.ENSP00000497102	9606.ENSP00000274520	0	0	0	0	0.061	0	0	0.620	0.627
CTLA4	IFNA1	9606.ENSP00000497102	9606.ENSP00000276927	0	0	0	0	0	0	0	0.668	0.668
CTLA4	IL18	9606.ENSP00000497102	9606.ENSP00000280357	0	0	0	0	0.074	0	0	0.588	0.602
CTLA4	IL10RB	9606.ENSP00000497102	9606.ENSP00000290200	0	0	0	0	0.055	0.174	0	0.294	0.400
CTLA4	NOD2	9606.ENSP00000497102	9606.ENSP00000300589	0	0	0	0	0.099	0	0	0.367	0.405
CTLA4	IL13	9606.ENSP00000497102	9606.ENSP00000304915	0	0	0	0	0.117	0	0	0.621	0.651
CTLA4	IL23R	9606.ENSP00000497102	9606.ENSP00000321345	0	0	0	0	0.081	0	0	0.444	0.467
